origin,age,colour,sex,import_type,season_stakes,total_stakes,no_of_123_starts,no_of_starts_in_past_races,trainer,owner,current_rating,start_of_season_rating,sire,dam,dam_sire
AUS ,4,Chestnut , Gelding,PPG,$0 ,"$9,116,600 ",5-0-2-9,0,C Fownes,Andrea Tien & Arthur Cheng,119,119,Sebring,Pinocchio,Encosta de Lago
NZ ,6,Bay , Gelding,PPG,"$4,029,000 ","$9,062,690 ",7-2-1-22,1,K H Ting,Grinders' Racing Club Syndicate,113,100,Darci Brahma,Bright Abyss,Royal Academy
AUS ,6,Chestnut , Gelding,PP,"$1,254,000 ","$4,541,600 ",3-3-2-25,0,K H Ting,Ian Cheng Ka Ho,91,90,Sebring,Jester's Girl,Commands
IRE ,6,Chestnut , Gelding,PP,"$253,000 ","$869,000 ",0-1-1-5,0,T P Yung,Peter Yip Hak Yung,90,90,Shamardal,Hazarafa,Daylami
AUS ,6,Bay , Gelding,PP,"$1,434,000 ","$3,990,090 ",4-1-0-24,1,A T Millard,Antony Ip Ren Haw,88,82,Sepoy,Nanda Kot,Encosta de Lago
IRE ,4,Bay , Colt,PP,"$253,000 ","$253,000 ",0-0-1-5,1,Y S Tsui,Yau Kwok Fai,83,86,Camelot,Madeira Mist,Grand Lodge
AUS ,5,Bay , Gelding,PPG,"$330,000 ","$3,247,090 ",4-1-0-14,0,P F Yiu,"Chan Kwok Yuen, Man Pui Kwan, Cho Kim Fu & Danny Yung Wai Man",82,79,Star Witness,Spooked,Scaredee Cat
AUS ,4,Chestnut , Gelding,PP,"$406,500 ","$2,744,250 ",1-2-3-16,2,A S Cruz,Always Exceed Racing Syndicate,79,85,Deep Field,Isabel Street,Dubawi
SAF ,4,Bay , Colt,PP,$0 ,"$126,000 ",0-0-0-4,0,A T Millard,Yeoh Saw Kheng,78,82,What A Winter,Big Mona,Yes It's True
AUS ,5,Bay , Gelding,PP,"$77,000 ","$2,274,000 ",1-0-0-13,1,T P Yung,Nicola Chu Ming Nga,76,85,Epaulette,Ouachita,Canny Lad
AUS ,3,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,D A Hayes,"Charmaine Li Chi Yin, Adrian Li Kwok Sheung & Tisa Fatima Mari Li Waung Tsen",75,75,Dream Ahead,Maxi Dress,Shamardal
AUS ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,P O'Sullivan,Leo Racing Syndicate,75,75,War Chant,Apache Point,High Chaparral
AUS ,5,Chestnut , Gelding,PPG,"$2,752,500 ","$2,752,500 ",3-2-1-11,1,K H Ting,Franklin To Tat Fai,74,46,Star Witness,Considerable,Casino Prince
IRE ,7,Chestnut , Gelding,PPG,"$1,196,000 ","$4,855,340 ",4-5-3-35,2,K W Lui,Absolute Hedge Syndicate,73,80,Sir Prancealot,Malta,Gone West
FR ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-2,0,P F Yiu,"Wilson Ngan Ping Shing, Katherine Ngan Mei Sze, Kanvin Ngan & Wilkie Ngan Chi Wai",73,75,Dandy Man,Desert Sprite,Tagula
AUS ,4,Chestnut , Gelding,PP,"$1,087,500 ","$1,087,500 ",1-0-0-8,1,F C Lor,Friends of Southern District Syndicate,71,71,Toronado,Push And Shove,Not A Single Doubt
AUS ,4,Bay , Gelding,PPG,"$3,225,000 ","$3,529,605 ",4-4-0-18,1,F C Lor,St Paul's Boys Syndicate,70,42,Magnus,So Enticing,Ice Point
NZ ,5,Bay , Gelding,PP,"$517,500 ","$517,500 ",0-0-3-12,1,C Fownes,Martin Siu Kim Sun,69,87,Ocean Park,Charmeuse,O'Reilly
AUS ,6,Brown , Gelding,PPG,"$735,000 ","$5,888,200 ",3-7-6-41,1,P F Yiu,Tam Kwok Cheung,68,71,All Too Hard,Cariad,Sequalo
GB ,4,Chestnut , Gelding,PP,"$225,000 ","$225,000 ",0-0-1-4,1,C Fownes,"Dr Chang Fuk To, Maria Chang Lee Ming Shum & Jonathan Chang Tien Yin",68,72,Toronado,Angelic Air,Oasis Dream
NZ ,5,Bay , Gelding,PPG,"$1,270,000 ","$4,000,540 ",5-3-3-32,1,A T Millard,Mr & Mrs Paul Kan Man Lok,67,65,Tavistock,Once More,Thorn Park
